Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,2,1102,2,1,2,1,1,1,2,0,94,3,2,7,4,2,5993,19479,8,0,1,11,3,1,80,0,8,0,1,6,4,0,5,1
49,1,279,1,8,1,1,1,2,3,1,61,2,2,6,2,1,5130,24907,1,0,0,23,4,4,80,1,10,3,3,10,7,1,7,0
37,2,1373,1,2,2,4,1,4,4,1,92,2,1,2,3,2,2090,2396,6,0,1,15,3,2,80,0,7,3,3,0,0,0,0,1
33,1,1392,1,3,4,1,1,5,4,0,56,3,1,6,3,1,2909,23159,1,0,1,11,3,3,80,0,8,3,3,8,7,3,0,0
27,2,591,1,2,1,3,1,7,1,1,40,3,1,2,2,1,3468,16632,9,0,0,12,3,4,80,1,6,3,3,2,2,2,2,0
32,1,1005,1,2,2,1,1,8,4,1,79,3,1,2,4,2,3068,11864,0,0,0,13,3,3,80,0,8,2,2,7,7,3,6,0
59,2,1324,1,3,3,3,1,10,3,0,81,4,1,2,1,1,2670,9964,4,0,1,20,4,1,80,3,12,3,2,1,0,0,0,0
30,2,1358,1,24,1,1,1,11,4,1,67,3,1,2,3,0,2693,13335,1,0,0,22,4,2,80,1,1,2,3,1,0,0,0,0
38,1,216,1,23,3,1,1,12,4,1,44,2,3,4,3,2,9526,8787,0,0,0,21,4,2,80,0,10,2,3,9,7,1,8,0
36,2,1299,1,27,3,3,1,13,3,1,94,3,2,0,3,1,5237,16577,6,0,0,13,3,2,80,2,17,3,2,7,7,7,7,0
35,2,809,1,16,3,3,1,14,1,1,84,4,1,2,2,1,2426,16479,0,0,0,13,3,3,80,1,6,5,3,5,4,0,3,0
29,2,153,1,15,2,1,1,15,4,0,49,2,2,2,3,2,4193,12682,0,0,1,12,3,4,80,0,10,3,3,9,5,0,8,0
31,2,670,1,26,1,1,1,16,1,1,31,3,1,6,3,0,2911,15170,1,0,0,17,3,4,80,1,5,1,2,5,2,4,3,0
34,2,1346,1,19,2,3,1,18,2,1,93,3,1,2,4,0,2661,8758,0,0,0,11,3,3,80,1,3,2,3,2,2,1,2,0
28,2,103,1,24,3,1,1,19,3,1,50,2,1,2,3,2,2028,12947,5,0,1,14,3,2,80,0,6,4,3,4,2,0,3,1
29,2,1389,1,21,4,1,1,20,2,0,51,4,3,4,1,0,9980,10195,1,0,0,11,3,3,80,1,10,1,3,10,9,8,8,0
32,2,334,1,5,2,1,1,21,1,1,80,4,1,6,2,0,3298,15053,0,0,1,12,3,4,80,2,7,5,2,6,2,0,5,0
22,0,1123,1,16,2,3,1,22,4,1,96,4,1,2,4,0,2935,7324,1,0,1,13,3,2,80,2,1,2,2,1,0,0,0,0
53,2,1219,2,2,4,1,1,23,1,0,78,2,4,3,4,1,15427,22021,2,0,0,16,3,3,80,0,31,3,3,25,8,3,7,0
38,2,371,1,2,3,1,1,24,4,1,45,3,1,6,4,2,3944,4306,5,0,1,11,3,3,80,0,6,3,3,3,2,1,2,0
24,0,673,1,11,2,4,1,26,1,0,96,4,2,4,3,0,4011,8232,0,0,0,18,3,4,80,1,5,5,2,4,2,1,3,0
36,2,1218,2,9,4,1,1,27,3,1,82,2,1,8,1,2,3407,6986,7,0,0,23,4,2,80,0,10,4,3,5,3,0,3,1
34,2,419,1,7,4,1,1,28,1,0,53,3,3,5,2,2,11994,21293,0,0,0,11,3,3,80,0,13,4,3,12,6,2,11,0
21,2,391,1,15,2,1,1,30,3,1,96,3,1,6,4,2,1232,19281,1,0,0,14,3,4,80,0,0,6,3,0,0,0,0,0
34,2,699,1,6,1,3,1,31,2,1,83,3,1,6,1,2,2960,17102,2,0,0,11,3,3,80,0,8,2,3,4,2,1,3,1
53,2,1282,1,5,3,4,1,32,3,0,58,3,5,3,3,0,19094,10735,4,0,0,11,3,4,80,1,26,3,2,14,13,4,8,0
32,1,1125,1,16,1,1,1,33,2,0,72,1,1,6,1,2,3919,4681,1,0,1,22,4,2,80,0,10,5,3,10,2,6,7,1
42,2,691,2,8,4,2,1,35,3,1,48,3,2,7,2,1,6825,21173,0,0,0,11,3,4,80,1,10,2,3,9,7,4,2,0
44,2,477,1,7,4,3,1,36,1,0,42,2,3,0,4,1,10248,2094,3,0,0,14,3,4,80,1,24,4,3,22,6,5,17,0
46,2,705,2,2,4,2,1,38,2,0,83,3,5,3,1,2,18947,22822,3,0,0,12,3,4,80,0,22,2,2,2,2,2,1,0
33,2,924,1,2,3,3,1,39,3,1,78,3,1,2,4,2,2496,6670,4,0,0,11,3,4,80,0,7,3,3,1,1,0,0,0
44,2,1459,1,10,4,4,1,40,4,1,41,3,2,0,4,1,6465,19121,2,0,1,13,3,4,80,0,9,5,4,4,2,1,3,0
30,2,125,1,9,2,3,1,41,4,1,83,2,1,2,3,2,2206,16117,1,0,0,13,3,1,80,0,10,5,3,10,0,1,8,0
39,2,895,2,5,3,5,1,42,4,1,56,3,2,8,4,1,2086,3335,3,0,0,14,3,3,80,1,19,6,4,1,0,0,0,1
24,2,813,1,1,3,3,1,45,2,1,61,3,1,6,4,1,2293,3020,2,0,1,16,3,1,80,1,6,2,2,2,0,2,0,1
43,2,1273,1,2,2,3,1,46,4,0,72,4,1,6,3,0,2645,21923,1,0,0,12,3,4,80,2,6,3,2,5,3,1,4,0
50,2,869,2,3,2,2,1,47,1,1,86,2,1,8,3,1,2683,3810,1,0,1,14,3,3,80,0,3,2,3,3,2,0,2,1
35,2,890,2,2,3,2,1,49,4,0,97,3,1,8,4,1,2014,9687,1,0,0,13,3,1,80,0,2,3,3,2,2,2,2,0
36,2,852,1,5,4,1,1,51,2,0,82,2,1,6,1,1,3419,13072,9,0,1,14,3,4,80,1,6,3,4,1,1,0,0,0
33,1,1141,2,1,3,1,1,52,3,0,42,4,2,7,1,1,5376,3193,2,0,0,19,3,1,80,2,10,3,3,5,3,1,3,0
35,2,464,1,4,2,4,1,53,3,1,75,3,1,2,4,0,1951,10910,1,0,0,12,3,3,80,1,1,3,3,1,0,0,0,0
27,2,1240,1,2,4,1,1,54,4,0,33,3,1,2,1,0,2341,19715,1,0,0,13,3,4,80,1,1,6,3,1,0,0,0,0
26,2,1357,1,25,3,1,1,55,1,1,48,1,1,2,3,2,2293,10558,1,0,0,12,3,3,80,0,1,2,2,1,0,0,1,1
27,1,994,2,8,3,1,1,56,4,1,37,3,3,7,3,2,8726,2975,1,0,0,15,3,4,80,0,9,0,3,9,8,1,7,0
30,1,721,1,1,2,3,1,57,3,0,58,3,2,2,4,2,4011,10781,1,0,0,23,4,4,80,0,12,2,3,12,8,3,7,0
41,2,1360,1,12,3,5,1,58,2,0,49,3,5,5,3,1,19545,16280,1,0,0,12,3,4,80,0,23,0,3,22,15,15,8,1
34,0,1065,2,23,4,2,1,60,2,1,72,3,2,7,3,2,4568,10034,0,0,0,20,4,3,80,0,10,2,3,9,5,8,7,0
37,2,408,1,19,2,1,1,61,2,1,73,3,1,6,2,1,3022,10227,4,0,0,21,4,1,80,0,8,1,3,1,0,0,0,0
46,1,1211,2,5,4,2,1,62,1,1,98,3,2,7,4,2,5772,20445,4,0,1,21,4,3,80,0,14,4,3,9,6,0,8,0
35,2,1229,1,8,1,1,1,63,4,1,36,4,1,2,4,1,2269,4892,1,0,0,19,3,4,80,0,1,2,3,1,0,0,1,0
48,2,626,1,1,2,1,1,64,1,1,98,2,3,2,3,2,5381,19294,9,0,1,13,3,4,80,0,23,2,3,1,0,0,0,1
28,2,1434,1,5,4,5,1,65,3,1,50,3,1,2,3,2,3441,11179,1,0,1,13,3,3,80,0,2,3,2,2,2,2,2,1
44,2,1488,2,1,5,2,1,68,2,0,75,3,2,7,1,0,5454,4009,5,0,1,21,4,3,80,1,9,2,2,4,3,1,3,0
35,0,1097,1,11,2,3,1,70,3,1,79,2,3,0,1,1,9884,8302,2,0,1,13,3,3,80,1,10,3,3,4,0,2,3,0
26,2,1443,2,23,3,2,1,72,3,0,47,2,2,7,4,1,4157,21436,7,0,1,19,3,3,80,1,5,2,2,2,2,0,0,0
33,1,515,1,1,2,1,1,73,1,0,98,3,3,5,4,2,13458,15146,1,0,1,12,3,3,80,0,15,1,3,15,14,8,12,0
35,1,853,2,18,5,1,1,74,2,1,71,3,3,7,1,1,9069,11031,1,0,0,22,4,4,80,1,9,3,2,9,8,1,8,0
35,2,1142,1,23,4,3,1,75,3,0,30,3,1,2,1,1,4014,16002,3,0,1,15,3,3,80,1,4,3,3,2,2,2,2,0
31,2,655,1,7,4,1,1,76,4,1,48,3,2,2,4,0,5915,9528,3,0,0,22,4,4,80,1,10,3,2,7,7,1,7,0
37,2,1115,1,1,4,1,1,77,1,1,51,2,2,4,3,0,5993,2689,1,0,0,18,3,3,80,1,7,2,4,7,5,0,7,0
32,2,427,1,1,3,3,1,78,1,1,33,3,2,4,4,1,6162,10877,1,0,1,22,4,2,80,1,9,3,3,9,8,7,8,0
38,1,653,1,29,5,1,1,79,4,0,50,3,2,2,4,2,2406,5456,1,0,0,11,3,4,80,0,10,2,3,10,3,9,9,0
50,2,989,1,7,2,3,1,80,2,0,43,2,5,5,3,0,18740,16701,5,0,1,12,3,4,80,1,29,2,2,27,3,13,8,0
59,2,1435,2,25,3,1,1,81,1,0,99,3,3,7,1,2,7637,2354,7,0,0,11,3,4,80,0,28,3,2,21,16,7,9,0
36,2,1223,1,8,3,5,1,83,3,0,59,3,3,0,3,0,10096,8202,1,0,0,13,3,2,80,3,17,2,3,17,14,12,8,0
55,2,836,1,8,3,3,1,84,4,0,33,3,4,3,3,0,14756,19730,2,0,1,14,3,3,80,3,21,2,3,5,0,0,2,0
36,1,1195,1,11,3,1,1,85,2,1,95,2,2,4,2,2,6499,22656,1,0,0,13,3,3,80,0,6,3,3,6,5,0,3,0
45,2,1339,1,7,3,1,1,86,2,1,59,3,3,6,1,0,9724,18787,2,0,0,17,3,3,80,1,25,2,3,1,0,0,0,0
35,1,664,1,1,3,3,1,88,2,1,79,3,1,6,1,1,2194,5868,4,0,0,13,3,4,80,1,5,2,2,3,2,1,2,0
36,2,318,1,9,3,3,1,90,4,1,79,2,1,6,3,1,3388,21777,0,0,1,17,3,1,80,1,2,0,2,1,0,0,0,1
59,1,1225,2,1,1,1,1,91,1,0,57,2,2,7,3,2,5473,24668,7,0,0,11,3,4,80,0,20,2,2,4,3,1,3,0
29,2,1328,1,2,3,1,1,94,3,1,76,3,1,6,2,1,2703,4956,0,0,0,23,4,4,80,1,6,3,3,5,4,0,4,0
31,2,1082,1,1,4,3,1,95,3,1,87,3,1,6,2,2,2501,18775,1,0,0,17,3,2,80,0,1,4,3,1,1,1,0,0
32,2,548,1,1,3,1,1,96,2,1,66,3,2,6,2,1,6220,7346,1,0,0,17,3,2,80,2,10,3,3,10,4,0,9,0
36,2,132,1,6,3,1,1,97,2,0,55,4,1,2,4,1,3038,22002,3,0,0,12,3,2,80,0,5,3,3,1,0,0,0,0
31,2,746,1,8,4,1,1,98,3,0,61,3,2,4,4,2,4424,20682,1,0,0,23,4,4,80,0,11,2,3,11,7,1,8,0
35,2,776,2,1,4,2,1,100,3,1,32,2,2,7,1,2,4312,23016,0,0,0,14,3,2,80,0,16,2,3,15,13,2,8,0
45,2,193,1,6,4,4,1,101,4,1,52,3,3,5,1,1,13245,15067,4,0,1,14,3,2,80,0,17,3,4,0,0,0,0,0
37,2,397,1,7,4,3,1,102,1,1,30,3,3,5,3,2,13664,25258,4,0,0,13,3,1,80,0,16,3,4,5,2,0,2,0
46,2,945,0,5,2,3,1,103,2,1,80,3,2,1,2,0,5021,10425,8,0,1,22,4,4,80,1,16,2,3,4,2,0,2,0
30,2,852,1,1,1,1,1,104,4,1,55,2,2,2,4,1,5126,15998,1,0,1,12,3,3,80,2,10,1,2,10,8,3,0,0
35,2,1214,1,1,3,3,1,105,2,1,30,2,1,6,3,2,2859,26278,1,0,0,18,3,1,80,0,6,3,3,6,4,0,4,0
55,2,111,2,1,2,1,1,106,1,1,70,3,3,7,4,1,10239,18092,3,0,0,14,3,4,80,1,24,4,3,1,0,1,0,0
38,0,573,1,6,3,3,1,107,2,0,79,1,2,6,4,0,5329,15717,7,0,1,12,3,4,80,3,17,3,3,13,11,1,9,0
34,2,1153,1,1,2,3,1,110,1,1,94,3,2,4,2,1,4325,17736,1,0,0,15,3,3,80,0,5,2,3,5,2,1,3,0
56,2,1400,1,7,3,1,1,112,4,1,49,1,3,4,4,2,7260,21698,4,0,0,11,3,1,80,0,37,3,2,6,4,0,2,0
23,2,541,2,2,1,5,1,113,3,1,62,3,1,8,1,0,2322,9518,3,0,0,13,3,3,80,1,3,3,3,0,0,0,0,0
51,2,432,1,9,4,1,1,116,4,1,96,3,1,2,4,1,2075,18725,3,0,0,23,4,2,80,2,10,4,3,4,2,0,3,0
30,2,288,1,2,3,1,1,117,3,1,99,2,2,0,4,1,4152,15830,1,0,0,19,3,1,80,3,11,3,3,11,10,10,8,0
46,2,669,2,9,2,3,1,118,3,1,64,2,3,7,4,2,9619,13596,1,0,0,16,3,4,80,0,9,3,3,9,8,4,7,1
40,1,530,1,1,4,1,1,119,3,1,78,2,4,0,2,1,13503,14115,1,0,0,22,4,4,80,1,22,3,2,22,3,11,11,0
51,2,632,2,21,4,2,1,120,3,1,71,3,2,7,4,2,5441,8423,0,0,1,22,4,4,80,0,11,2,1,10,7,1,0,0
30,2,1334,2,4,2,3,1,121,3,0,63,2,2,7,2,0,5209,19760,1,0,1,12,3,2,80,3,11,4,2,11,8,2,7,0
46,1,638,1,1,3,3,1,124,3,1,40,2,3,0,1,1,10673,3142,2,0,1,13,3,3,80,1,21,5,2,10,9,9,5,0
32,2,1093,2,6,4,3,1,125,2,1,87,3,2,7,3,2,5010,24301,1,0,0,16,3,1,80,0,12,0,3,11,8,5,7,0
54,2,1217,1,2,4,5,1,126,1,0,60,3,3,5,3,1,13549,24001,9,0,0,12,3,1,80,1,16,5,1,4,3,0,3,0
24,2,1353,2,3,2,4,1,128,1,0,33,3,2,7,3,1,4999,17519,0,0,0,21,4,1,80,1,4,2,2,3,2,0,2,0
28,0,120,2,4,3,3,1,129,2,1,43,3,2,7,3,1,4221,8863,1,0,0,15,3,2,80,0,5,3,4,5,4,0,4,0
58,2,682,2,10,4,3,1,131,4,1,37,3,4,7,3,2,13872,24409,0,0,0,13,3,3,80,0,38,1,2,37,10,1,8,0
44,0,489,1,23,3,3,1,132,2,1,67,3,2,2,2,1,2042,25043,4,0,0,12,3,3,80,1,17,3,4,3,2,1,2,0
37,2,807,0,6,4,0,1,133,3,1,63,3,1,1,1,0,2073,23648,4,0,1,22,4,4,80,0,7,3,3,3,2,0,2,1
32,2,827,1,1,1,1,1,134,4,1,71,3,1,6,1,2,2956,15178,1,0,0,13,3,4,80,0,1,2,3,1,0,0,0,0
20,1,871,1,6,3,1,1,137,4,0,66,2,1,2,4,2,2926,19783,1,0,1,18,3,2,80,0,1,5,3,1,0,1,0,1
34,2,665,1,6,4,4,1,138,1,0,41,3,2,6,3,2,4809,12482,1,0,0,14,3,3,80,0,16,3,3,16,13,2,10,0
37,0,1040,1,2,2,1,1,139,3,1,100,2,2,0,4,0,5163,15850,5,0,0,14,3,4,80,1,17,2,4,1,0,0,0,0
59,0,1420,0,2,4,0,1,140,3,0,32,2,5,3,4,1,18844,21922,9,0,0,21,4,4,80,1,30,3,3,3,2,2,2,0
50,1,1115,1,1,3,1,1,141,1,0,73,3,5,5,2,1,18172,9755,3,0,1,19,3,1,80,0,28,1,2,8,3,0,7,0
25,2,240,2,5,3,2,1,142,3,1,46,2,2,7,3,2,5744,26959,1,0,1,11,3,4,80,0,6,1,3,6,4,0,3,1
25,2,1280,1,7,1,3,1,143,4,1,64,2,1,6,4,1,2889,26897,1,0,0,11,3,3,80,2,2,2,3,2,2,2,1,0
22,2,534,1,15,3,3,1,144,2,0,59,3,1,2,4,2,2871,23785,1,0,0,15,3,3,80,0,1,5,3,0,0,0,0,0
51,1,1456,1,1,4,3,1,145,1,0,30,2,3,0,1,2,7484,25796,3,0,0,20,4,3,80,0,23,1,2,13,12,12,8,0
34,1,658,1,7,3,1,1,147,1,1,66,1,2,2,3,2,6074,22887,1,0,1,24,4,4,80,0,9,3,3,9,7,0,6,1
54,0,142,0,26,3,0,1,148,4,0,30,4,4,3,4,2,17328,13871,2,0,1,12,3,3,80,0,23,3,3,5,3,4,4,0
24,2,1127,1,18,1,1,1,150,2,1,52,3,1,2,3,1,2774,13257,0,0,0,12,3,3,80,1,6,2,3,5,3,1,2,0
34,2,1031,1,6,4,1,1,151,3,0,45,2,2,6,2,0,4505,15000,6,0,0,15,3,3,80,1,12,3,3,1,0,0,0,0
37,2,1189,2,3,3,1,1,152,3,1,87,3,3,7,4,2,7428,14506,2,0,0,12,3,1,80,0,12,3,3,5,3,1,3,0
34,2,1354,1,5,3,3,1,153,3,0,45,2,3,3,1,2,11631,5615,2,0,0,12,3,4,80,0,14,6,3,11,10,5,8,0
36,1,1467,2,11,2,5,1,154,2,0,92,3,3,7,4,1,9738,22952,0,0,0,14,3,3,80,1,10,6,3,9,7,2,8,0
36,2,922,1,3,2,1,1,155,1,0,39,3,1,2,4,0,2835,2561,5,0,0,22,4,1,80,1,7,2,3,1,0,0,0,0
43,1,394,2,26,2,1,1,158,3,1,92,3,4,3,4,1,16959,19494,1,0,1,12,3,4,80,2,25,3,4,25,12,4,12,0
30,1,1312,1,23,3,1,1,159,1,1,96,1,1,6,3,0,2613,22310,1,0,0,25,4,3,80,3,10,2,2,10,7,0,9,0
33,0,750,2,22,2,2,1,160,3,1,95,3,2,7,2,1,6146,15480,0,0,0,13,3,1,80,1,8,2,4,7,7,0,7,0
56,2,441,1,14,4,1,1,161,2,0,72,3,1,6,2,1,4963,4510,9,0,1,18,3,1,80,3,7,2,3,5,4,4,3,1
51,2,684,1,6,3,1,1,162,1,1,51,3,5,5,3,2,19537,6462,7,0,0,13,3,3,80,0,23,5,3,20,18,15,15,0
31,2,249,2,6,4,1,1,163,2,1,76,1,2,7,3,1,6172,20739,4,0,1,18,3,2,80,0,12,3,2,7,7,7,7,1
26,2,841,1,6,3,4,1,164,3,0,46,2,1,6,2,1,2368,23300,1,0,0,19,3,3,80,0,5,3,2,5,4,4,3,0
58,2,147,1,23,4,3,1,165,4,0,94,3,3,0,4,1,10312,3465,1,0,0,12,3,4,80,1,40,3,2,40,10,15,6,1
19,2,528,2,22,1,2,1,167,4,1,50,3,1,8,3,2,1675,26820,1,0,1,19,3,4,80,0,0,2,2,0,0,0,0,1
22,2,594,1,2,1,5,1,169,3,1,100,3,1,2,4,1,2523,19299,0,0,0,14,3,3,80,1,3,2,3,2,1,2,1,0
49,2,470,1,20,4,3,1,170,3,0,96,3,2,4,1,1,6567,5549,1,0,0,14,3,3,80,0,16,2,2,15,11,5,11,0
43,1,957,1,28,3,3,1,171,2,0,72,4,1,6,3,2,4739,16090,4,0,0,12,3,4,80,0,18,2,3,3,2,1,2,0
50,1,809,2,12,3,2,1,174,3,0,77,3,3,7,4,2,9208,6645,4,0,0,11,3,4,80,0,16,3,3,2,2,2,1,0
31,2,542,2,20,3,1,1,175,2,0,71,1,2,7,3,1,4559,24788,3,0,1,11,3,3,80,1,4,2,3,2,2,2,2,1
41,2,802,2,9,1,1,1,176,3,1,96,3,3,7,3,0,8189,21196,3,0,1,13,3,3,80,1,12,2,3,9,7,0,7,0
26,2,1355,0,25,1,1,1,177,3,0,61,3,1,1,3,1,2942,8916,1,0,0,23,4,4,80,1,8,3,3,8,7,5,7,0
